ID,Sex,BirthYear
Uts_18A_095,2,2013
Uts_18A_096,1,2012
Uts_18A_097,2,2012
Uts_18A_098,2,2013
Uts_18A_099,2,2012
Uts_18A_100,1,2013
Uts_18A_101,2,2013
Uts_18A_102,2,2013
Uts_18A_103,2,2013
Uts_18A_104,2,2014
Uts_18A_105,2,2013
Uts_18A_106,2,2012
Uts_18A_107,2,2013
Uts_18A_108,2,2013
Uts_18A_109,2,2012
Uts_18A_110,2,2013
Uts_18A_111,2,2014
Uts_18A_112,2,2013
Uts_18A_113,2,2014
Uts_18A_114,2,2013
Uts_18A_115,2,2014
Uts_18A_116,2,2014
Uts_18A_117,1,2011
Uts_18A_118,2,2013
Uts_18A_119,1,2013
Uts_18A_120,2,2013
Uts_18A_121,2,2012
Uts_18A_122,2,2013
Uts_12_0y_003,2,2012
Uts_12_0y_004,1,2012
Uts_12_0y_005,2,2012
Uts_12_0y_006,1,2012
Uts_12_0y_007,1,2012
Uts_12_0y_010,1,2012
Uts_12_0y_011,2,2012
Uts_12_0y_012,2,2012
Uts_12_0y_013,1,2012
Uts_12_0y_017,1,2012
Uts_12_0y_018,2,2012
Uts_12_0y_019,1,2012
Uts_12_0y_020,2,2012
Uts_12_0y_021,2,2012
Uts_12_0y_022,2,2012
Uts_12_0y_023,2,2012
Uts_12_0y_024,2,2012
Uts_12_0y_025,1,2012
Uts_12_0y_026,2,2012
Uts_12_0y_027,1,2012
Uts_12_0y_028,1,2012
Uts_12_0y_029,2,2012
Uts_12_0y_030,1,2012
Uts_12_0y_031,2,2012
Uts_12_0y_032,2,2012
Uts_12_0y_033,1,2012
Uts_12_0y_034,2,2012
Uts_12_0y_035,1,2012
Uts_12_0y_036,1,2012
Uts_12_0y_037,1,2012
Uts_12_0y_038,2,2012
Uts_12_0y_039,2,2012
Uts_12_0y_040,1,2012
Uts_12_0y_041,1,2012
Uts_12_0y_042,1,2012
Uts_12_0y_043,2,2012
Uts_12_0y_044,2,2012
Uts_12_0y_046,1,2012
Uts_12_0y_047,1,2012
Uts_12_0y_048,2,2012
Uts_12_0y_049,2,2012
Uts_12_0y_050,1,2012
Uts_12_0y_051,2,2012
Uts_12_0y_052,2,2012
Uts_12_0y_053,1,2012
Uts_12_0y_054,1,2012
Uts_12_0y_055,1,2012
Uts_12_0y_056,2,2012
Uts_12_0y_057,2,2012
Uts_12_0y_058,2,2012
Uts_12_0y_059,2,2012
Uts_12_0y_060,2,2012
Uts_12_0y_061,1,2012
Uts_12_0y_062,1,2012
Uts_12_0y_063,1,2012
Uts_12_0y_064,2,2012
Uts_12_0y_065,1,2012
Uts_12_0y_066,2,2012
Uts_12_0y_067,2,2012
Uts_12_0y_068,2,2012
Uts_12_0y_069,NA,2012
