"","ID","year","OffspID.ext","class","class.cor","Code","new_site_code","date","sample.date","box.info","Cap.no","Cap.notes.org","Ext.notes","other.notes","ID.tube","length.cm","scale.reading","scale.age","mature.male.parr","recapture","notes.fi","notes.eng"
"115","Uts_16_1y_0026",2016,"UTS_16_1y_0026","1y","1y",14,16,"9/5/2016","","BOX 31 1+, UTSJOKI2016 SALMON, 2.9.2016, UTSJOEN VANHA UOMA, 1-8, 5.9.2016, HOTELLIN NIVA, 9-26, 6.9.2016, HOTELLIN NIVA, 27-50, 7.9.2016 SILLAN YLÄPUOLI, LÄNSIRANTA 51-81, LO339",26,"26","ECG_67","",NA,NA,"",NA,NA,NA,"",""
"116","Uts_16_0y_0036",2016,"UTS_16_0y_0036","0y","0y",14,16,"9/5/2016","","BOX 1 0+, UTSJOKI 2016 SALMON, 2.9.2016 UTSJOEN VANHA UOMA 1-35, 5.9.2016 HOTELLIN NIVA 36-81, LO309",36,"36","ECG_041","",NA,NA,"",NA,NA,NA,"",""
"117","Uts_16_0y_0081",2016,"UTS_16_0y_0081","0y","0y",14,16,"9/5/2016","","BOX 1 0+, UTSJOKI 2016 SALMON, 2.9.2016 UTSJOEN VANHA UOMA 1-35, 5.9.2016 HOTELLIN NIVA 36-81, LO309",81,"81","ECG_041","",NA,NA,"",NA,NA,NA,"",""
"118","Uts_16_0y_0082",2016,"UTS_16_0y_0082","0y","0y",14,16,"9/5/2016","","BOX 2 0+, UTSJOKI 2016 SALMON, 5.9.2016 HOTELLIN NIVA 82-162, LO310",82,"82","ECG_041","",NA,NA,"",NA,NA,NA,"",""
"119","Uts_16_0y_0162",2016,"UTS_16_0y_0162","0y","0y",14,16,"9/5/2016","","BOX 2 0+, UTSJOKI 2016 SALMON, 5.9.2016 HOTELLIN NIVA 82-162, LO310",162,"162","ECG_042","",NA,NA,"",NA,NA,NA,"",""
"120","Uts_16_0y_0163",2016,"UTS_16_0y_0163","0y","0y",14,16,"9/5/2016","","BOX 3 0+, UTSJOKI 2016 SALMON, 5.9.2016 HOTELLIN NIVA 163-243, 311",163,"163","ECG_042","",NA,NA,"",NA,NA,NA,"",""
"121","Uts_16_0y_0243",2016,"UTS_16_0y_0243","0y","0y",14,16,"9/5/2016","","BOX 3 0+, UTSJOKI 2016 SALMON, 5.9.2016 HOTELLIN NIVA 163-243, 311",243,"243","ECG_043","",NA,NA,"",NA,NA,NA,"",""
"122","Uts_16_0y_0244",2016,"UTS_16_0y_0244","0y","0y",14,16,"9/5/2016","","BOX 4 0+, UTSJOKI 2016 SALMON, 5.9.2016, HOTELLIN NIVA 244-324, LO312",244,"244","ECG_043","",NA,NA,"",NA,NA,NA,"",""
"123","Uts_16_0y_0324",2016,"UTS_16_0y_0324","0y","0y",14,16,"9/5/2016","","BOX 4 0+, UTSJOKI 2016 SALMON, 5.9.2016, HOTELLIN NIVA 244-324, LO312",324,"324","ECG_044","",NA,NA,"",NA,NA,NA,"",""
"124","Uts_16_0y_0325",2016,"UTS_16_0y_0325","0y","0y",14,16,"9/5/2016","","BOX 5 0+, UTSJOKI 2016 SALMON, 5.9.2016 HOTELLIN NIVA 325-344, 6.9.2016 HOTELLIN NIVA, (YLÄOSA) 345-405, LO313",325,"325","ECG_044","",NA,NA,"",NA,NA,NA,"",""
