"","ID","sex","type","class.cor","year","BirthYear","scale.seaage","Scale.smoltage","InterpAge","Respawner","respawner.info","total.age","total.age.int","birthyear.int"
"121","Uts_13A_031","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"122","Uts_13A_032","M","Adult","Adult",2013,2007,1,5,1,0,NA,6,6,2007
"123","Uts_13A_033","F","Adult","Adult",2013,2007,3,3,3,0,NA,6,6,2007
"124","Uts_13A_034","M","Adult","Adult",2013,2007,2,4,2,0,NA,6,6,2007
"125","Uts_13A_035","M","Adult","Adult",2013,2007,1,NA,1,0,NA,NA,5,2008
"126","Uts_13A_036","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"127","Uts_13A_037","F","Adult","Adult",2013,2006,3,4,3,0,NA,7,7,2006
"128","Uts_13A_038","M","Adult","Adult",2013,2008,3,3,3,1,10,6,6,2007
"129","Uts_13A_039","F","Adult","Adult",2013,2007,2,4,2,0,NA,6,6,2007
"130","Uts_13A_040","M","Adult","Adult",2013,2007,1,NA,1,0,NA,NA,5,2008
"131","Uts_13A_041","M","Adult","Adult",2013,2007,1,5,1,0,NA,6,6,2007
"132","Uts_13A_042","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"133","Uts_13A_043","M","Adult","Adult",2013,2007,3,NA,3,0,NA,NA,7,2006
"134","Uts_13A_044","F","Adult","Adult",2013,2007,2,NA,2,0,NA,NA,6,2007
"135","Uts_13A_045","F","Adult","Adult",2013,2007,2,NA,2,0,NA,NA,6,2007
"136","Uts_13A_046","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"137","Uts_13A_047","F","Adult","Adult",2013,2008,3,3,3,1,10,6,6,2007
